id,platform,text,timestamp
1,YouTube,Mi proud a di new youth program in Ocho Rios 🇯🇲,2025-10-15 05:29:00
2,Instagram,Gas prices are killing me today in Montego Bay 😤,2025-10-17 17:20:00
3,YouTube,Can’t believe another shooting happened in Ocho Rios 😡,2025-10-15 10:17:00
4,YouTube,Did you see that crazy goal last night for Kingston ⚽,2025-10-15 13:36:00
5,Instagram,Mi hungry fi some jerk chicken in Kingston 🍗,2025-10-17 00:27:00
6,Instagram,"Budget proposals are out, what do you think about Spanish Town? 💰",2025-10-17 13:30:00
7,X,Street food a sell out fast in St. Ann 🌮,2025-10-16 10:45:00
8,Instagram,Training hard for the upcoming marathon in Negril 🏃‍♂️,2025-10-17 02:38:00
9,Instagram,"Budget proposals are out, what do you think about St. Ann? 💰",2025-10-17 00:47:00
10,YouTube,Training hard for the upcoming marathon in Ocho Rios 🏃‍♂️,2025-10-16 23:29:00
11,X,"Taxes keep going up, when will it stop in St. Ann? 💸",2025-10-17 17:26:00
12,X,Mi glad fi see di Reggae Boyz win dem match in Ocho Rios!,2025-10-16 04:11:00
13,YouTube,Di power cut last night was rough in Kingston ⚡,2025-10-17 00:29:00
14,Instagram,Di power cut last night was rough in Ocho Rios ⚡,2025-10-16 09:37:00
15,YouTube,"Di road dem a bad shape in Spanish Town, we need fix it.",2025-10-16 17:57:00
16,X,"Di road dem a bad shape in Mandeville, we need fix it.",2025-10-15 14:39:00
17,YouTube,Di bus never show up again in Ocho Rios 😩,2025-10-15 16:17:00
18,X,PM's speech today was inspiring about Mandeville 🙌,2025-10-15 15:04:00
19,YouTube,"Di road dem a bad shape in Montego Bay, we need fix it.",2025-10-16 23:37:00
20,Instagram,The Prime Minister announced new policies today in Kingston 🇯🇲,2025-10-15 03:31:00
21,Instagram,Mi hungry fi some jerk chicken in Portmore 🍗,2025-10-17 00:44:00
22,X,The Prime Minister announced new policies today in Negril 🇯🇲,2025-10-16 00:09:00
24,Instagram,"Di road dem a bad shape in Negril, we need fix it.",2025-10-15 08:21:00
25,X,Did you see that crazy goal last night for Montego Bay ⚽,2025-10-16 00:39:00
26,X,Mi hungry fi some jerk chicken in Spanish Town 🍗,2025-10-15 13:49:00
27,YouTube,"New album by Vibes Galore just dropped, it's fire 🔥",2025-10-17 09:37:00
29,X,Mi proud a di new youth program in Montego Bay 🇯🇲,2025-10-16 03:26:00
30,Instagram,Training hard for the upcoming marathon in Portmore 🏃‍♂️,2025-10-15 12:30:00
32,Instagram,Our team won the championship in Mandeville! 🏆,2025-10-15 15:01:00
33,X,Hope the new law improves public services about Spanish Town 📜,2025-10-15 16:09:00
34,YouTube,"Water shortage again in Spanish Town, people a suffer.",2025-10-15 03:32:00
36,X,Di bus never show up again in Spanish Town 😩,2025-10-17 19:45:00
37,Instagram,Training hard for the upcoming marathon in St. Catherine 🏃‍♂️,2025-10-15 10:18:00
39,Instagram,Can’t believe another shooting happened in Spanish Town 😡,2025-10-15 22:20:00
40,YouTube,"Taxes keep going up, when will it stop in Negril? 💸",2025-10-15 01:53:00
41,Instagram,"Water shortage again in Ocho Rios, people a suffer.",2025-10-15 11:27:00
42,X,"That movie 'Kingston Nights' was epic, totally worth it 🎬",2025-10-15 22:38:00
43,YouTube,PM's speech today was inspiring about Spanish Town 🙌,2025-10-15 05:41:00
44,Instagram,Mi cyaan wait fi di next music festival in St. Catherine! 🎶,2025-10-17 08:45:00
45,YouTube,The Prime Minister announced new policies today in Ocho Rios 🇯🇲,2025-10-17 08:35:00
46,X,"Mi seh, di vibes at di concert in St. Catherine did wicked! 🎵",2025-10-16 00:45:00
48,Instagram,Hope the new law improves public services about Montego Bay 📜,2025-10-15 03:31:00
49,X,Gas prices are killing me today in Portmore 😤,2025-10-16 08:30:00
50,YouTube,"Water shortage again in St. Ann, people a suffer.",2025-10-17 02:17:00
51,Instagram,"Water shortage again in Kingston, people a suffer.",2025-10-16 05:52:00
52,X,PM's speech today was inspiring about Ocho Rios 🙌,2025-10-16 01:56:00
53,Instagram,Government needs to do more for the people in St. Catherine 😠,2025-10-16 22:21:00
57,YouTube,Mi glad fi see di Reggae Boyz win dem match in Montego Bay!,2025-10-17 21:25:00
59,Instagram,Hope the new law improves public services about Negril 📜,2025-10-17 21:14:00
60,YouTube,Our team won the championship in Ocho Rios! 🏆,2025-10-15 11:17:00
62,YouTube,"New album by Island Nights just dropped, it's fire 🔥",2025-10-16 20:31:00
63,YouTube,Hope the new law improves public services about Mandeville 📜,2025-10-15 13:17:00
64,YouTube,"Taxes keep going up, when will it stop in St. Catherine? 💸",2025-10-16 04:38:00
65,X,Government needs to do more for the people in Negril 😠,2025-10-17 19:55:00
67,Instagram,Hope the new law improves public services about St. Ann 📜,2025-10-16 15:14:00
69,YouTube,Mi proud a di new youth program in Mandeville 🇯🇲,2025-10-16 13:08:00
70,X,Gas prices are killing me today in Negril 😤,2025-10-15 15:30:00
71,X,Di bus never show up again in Negril 😩,2025-10-16 10:42:00
72,YouTube,Government needs to do more for the people in St. Ann 😠,2025-10-17 19:15:00
74,YouTube,"Water shortage again in Montego Bay, people a suffer.",2025-10-15 05:17:00
76,YouTube,Did you see that crazy goal last night for Portmore ⚽,2025-10-15 03:07:00
77,Instagram,Government needs to do more for the people in Kingston 😠,2025-10-15 11:09:00
78,Instagram,"That movie 'Sunset Drive' was epic, totally worth it 🎬",2025-10-15 01:50:00
79,YouTube,Mi hungry fi some jerk chicken in St. Ann 🍗,2025-10-15 09:19:00
80,Instagram,Street food a sell out fast in Mandeville 🌮,2025-10-15 01:21:00
81,Instagram,"Budget proposals are out, what do you think about Portmore? 💰",2025-10-17 23:36:00
82,Instagram,"Water shortage again in Portmore, people a suffer.",2025-10-17 00:41:00
84,X,PM's speech today was inspiring about Kingston 🙌,2025-10-15 02:21:00
85,YouTube,Di bus never show up again in St. Catherine 😩,2025-10-16 13:52:00
86,Instagram,"Mi seh, di vibes at di concert in Mandeville did wicked! 🎵",2025-10-16 19:13:00
87,X,Our team won the championship in Negril! 🏆,2025-10-15 01:36:00
88,YouTube,Di power cut last night was rough in Montego Bay ⚡,2025-10-16 06:12:00
89,X,Hope the new law improves public services about St. Catherine 📜,2025-10-16 15:57:00
90,X,Mi hungry fi some jerk chicken in Mandeville 🍗,2025-10-17 15:13:00
91,Instagram,Street food a sell out fast in Montego Bay 🌮,2025-10-17 19:13:00
92,X,Street food a sell out fast in Kingston 🌮,2025-10-16 07:48:00
93,Instagram,Hope the new law improves public services about Ocho Rios 📜,2025-10-17 04:13:00
94,YouTube,Di power cut last night was rough in St. Catherine ⚡,2025-10-15 14:54:00
95,YouTube,Di power cut last night was rough in Spanish Town ⚡,2025-10-17 21:51:00
96,YouTube,"Crime rates are going up in Portmore, stay safe out there 🚨",2025-10-17 09:07:00
98,X,"Di road dem a bad shape in St. Ann, we need fix it.",2025-10-16 09:03:00
99,YouTube,Our team won the championship in Portmore! 🏆,2025-10-17 14:12:00
100,YouTube,Mi proud a di new youth program in St. Catherine 🇯🇲,2025-10-16 11:38:00
101,Instagram,Can’t believe another shooting happened in Kingston 😡,2025-10-17 21:49:00
102,Instagram,"Di road dem a bad shape in Ocho Rios, we need fix it.",2025-10-15 10:17:00
104,YouTube,"Mi seh, di vibes at di concert in Spanish Town did wicked! 🎵",2025-10-15 20:20:00
105,X,"That movie 'Island Adventure' was epic, totally worth it 🎬",2025-10-16 16:28:00
106,X,"Mi seh, di vibes at di concert in St. Ann did wicked! 🎵",2025-10-17 03:00:00
107,X,Can’t believe another shooting happened in Montego Bay 😡,2025-10-17 07:19:00
108,YouTube,Street food a sell out fast in St. Catherine 🌮,2025-10-15 15:56:00
110,Instagram,"New album by Tropical Beats just dropped, it's fire 🔥",2025-10-16 14:44:00
111,X,Di bus never show up again in St. Ann 😩,2025-10-15 21:38:00
112,YouTube,"Water shortage again in St. Catherine, people a suffer.",2025-10-16 23:43:00
118,YouTube,Di bus never show up again in Portmore 😩,2025-10-15 18:06:00
120,YouTube,Can’t believe another shooting happened in St. Catherine 😡,2025-10-16 14:18:00
121,YouTube,"Di road dem a bad shape in Kingston, we need fix it.",2025-10-16 18:38:00
122,X,"Water shortage again in Negril, people a suffer.",2025-10-16 15:18:00
123,YouTube,"Mi seh, di vibes at di concert in Montego Bay did wicked! 🎵",2025-10-16 06:35:00
124,X,PM's speech today was inspiring about Montego Bay 🙌,2025-10-15 13:32:00
126,YouTube,Gas prices are killing me today in Spanish Town 😤,2025-10-17 21:49:00
127,Instagram,Gas prices are killing me today in St. Ann 😤,2025-10-15 08:43:00
128,X,Street food a sell out fast in Spanish Town 🌮,2025-10-15 10:56:00
129,YouTube,"Di road dem a bad shape in Portmore, we need fix it.",2025-10-17 14:42:00
131,X,Mi hungry fi some jerk chicken in Ocho Rios 🍗,2025-10-15 03:33:00
132,X,Hope the new law improves public services about Portmore 📜,2025-10-17 10:06:00
133,Instagram,Our team won the championship in Spanish Town! 🏆,2025-10-17 15:03:00
134,X,"Mi seh, di vibes at di concert in Negril did wicked! 🎵",2025-10-17 09:44:00
135,YouTube,"Crime rates are going up in Kingston, stay safe out there 🚨",2025-10-15 13:17:00
141,X,"Crime rates are going up in St. Ann, stay safe out there 🚨",2025-10-16 05:03:00
143,X,"Budget proposals are out, what do you think about St. Catherine? 💰",2025-10-18 00:57:00
144,X,"Cost of living is ridiculous in Negril, people a struggle 😓",2025-10-15 22:27:00
151,Instagram,Gas prices are killing me today in St. Catherine 😤,2025-10-15 01:12:00
152,YouTube,"That movie 'Jungle Quest' was epic, totally worth it 🎬",2025-10-16 15:34:00
154,YouTube,PM's speech today was inspiring about Portmore 🙌,2025-10-17 17:53:00
155,X,"New album by Reggae Soul just dropped, it's fire 🔥",2025-10-16 02:53:00
161,Instagram,Training hard for the upcoming marathon in St. Ann 🏃‍♂️,2025-10-15 01:56:00
165,X,Mi glad fi see di Reggae Boyz win dem match in Portmore!,2025-10-15 04:54:00
166,Instagram,Mi proud a di new youth program in Kingston 🇯🇲,2025-10-16 23:57:00
167,X,Government needs to do more for the people in Ocho Rios 😠,2025-10-16 21:20:00
168,X,Did you see that crazy goal last night for St. Catherine ⚽,2025-10-15 01:29:00
169,YouTube,Mi proud a di new youth program in Negril 🇯🇲,2025-10-17 11:15:00
173,X,Mi cyaan wait fi di next music festival in St. Ann! 🎶,2025-10-17 15:12:00
174,X,Did you see that crazy goal last night for Ocho Rios ⚽,2025-10-16 07:37:00
178,YouTube,Di bus never show up again in Mandeville 😩,2025-10-16 20:40:00
179,Instagram,Di bus never show up again in Kingston 😩,2025-10-15 05:02:00
180,X,"That movie 'Fast Waves' was epic, totally worth it 🎬",2025-10-15 06:40:00
181,YouTube,Gas prices are killing me today in Kingston 😤,2025-10-15 16:49:00
183,X,Street food a sell out fast in Negril 🌮,2025-10-16 16:14:00
185,Instagram,Gas prices are killing me today in Mandeville 😤,2025-10-17 14:52:00
187,X,"Crime rates are going up in Ocho Rios, stay safe out there 🚨",2025-10-16 13:28:00
